l_left,link_id,li_idx,li_link_type,li_geometry,li_Mnode_u,li_Mnode_d,lr_Length,lr_Slope,lr_Roughness,lr_InitialFlowrate,lr_InitialUpstreamDepth,lr_InitialDnstreamDepth
18,1,0,0,1,0,1,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
17,2,1,0,1,1,15,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
16,3,2,0,1,15,2,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
15,4,3,0,1,2,3,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
14,5,4,0,1,3,4,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
13,6,5,0,1,4,5,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
12,7,6,0,1,5,14,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
11,8,7,0,1,8,10,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
10,9,8,0,1,9,10,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
9,10,9,0,1,10,11,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
8,11,10,0,1,11,3,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
7,12,11,0,1,16,3,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
6,13,12,0,1,16,13,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
5,14,13,0,1,12,13,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
4,15,14,0,1,13,4,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
3,16,15,0,1,7,2,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
2,17,16,0,1,6,1,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
1,18,17,0,1,15,7,10.0000,-1.0000,0.0100,0.0000,0.0000,0.0000
